Date,BTC,ETH,LTC,XRP
2019-04-27 08-AM,5146.46,153.13,70.63,0.2915
2019-04-27 07-AM,5164.99,154.02,70.76,0.2923
2019-04-27 06-AM,5174.96,153.99,71.38,0.2933
2019-04-27 05-AM,5167.37,153.72,71.15,0.2935
2019-04-27 04-AM,5156.06,153.45,71.3,0.2933
2019-04-27 03-AM,5140.77,153.19,70.86,0.292
2019-04-27 02-AM,5144.72,152.5,71.18,0.2915
2019-04-27 01-AM,5148.06,153.11,71.01,0.2919
2019-04-27 12-AM,5148.71,152.87,71.09,0.2938
2019-04-26 11-PM,5147.48,153.1,71.56,0.294
2019-04-26 10-PM,5155.19,152.88,71.7,0.2938
2019-04-26 09-PM,5147.04,152.58,71.45,0.292
2019-04-26 08-PM,5123.69,151.01,71.28,0.2928
2019-04-26 07-PM,5098.1,150.02,70.68,0.2902
2019-04-26 06-PM,5081.38,150.24,70.19,0.2891
2019-04-26 05-PM,5072.53,151.61,70.33,0.2893
2019-04-26 04-PM,5098.64,151.39,70.78,0.2905
2019-04-26 03-PM,5103.84,151.49,70.67,0.2895
2019-04-26 02-PM,5137.57,152.23,70.69,0.288
2019-04-26 01-PM,5166,152.48,71.01,0.2894
2019-04-26 12-PM,5166.05,152.49,71.47,0.2898
2019-04-26 11-AM,5175,151.26,71.25,0.2905
2019-04-26 10-AM,5156,151.88,71.19,0.2888
2019-04-26 09-AM,5159.97,151.89,70.95,0.2893
2019-04-26 08-AM,5168.04,152.35,70.93,0.2876
2019-04-26 07-AM,5176.55,152.28,71.25,0.2875
2019-04-26 06-AM,5161.89,152.28,71.37,0.2868
2019-04-26 05-AM,5178.3,153.11,71.17,0.2868
2019-04-26 04-AM,5192,152.96,71.46,0.2881
2019-04-26 03-AM,5176.79,152.6,71.38,0.2874
2019-04-26 02-AM,5204.82,152.59,72.1,0.2891
2019-04-26 01-AM,5219.52,151.94,72.01,0.2885
2019-04-26 12-AM,5143.14,150.59,70.29,0.2878
2019-04-25 11-PM,5119.7,152,70,0.2878
2019-04-25 10-PM,5132.55,153.25,70.75,0.2865
2019-04-25 09-PM,5124.51,160.18,71.33,0.2876
2019-04-25 08-PM,5392.75,164.64,72.6,0.2968
2019-04-25 07-PM,5496.09,164.57,73.96,0.3025
2019-04-25 06-PM,5487.44,164.82,73.92,0.3024
2019-04-25 05-PM,5497,164.78,73.83,0.3029
2019-04-25 04-PM,5495.25,164.8,73.85,0.3031
2019-04-25 03-PM,5479.25,164.05,74.19,0.3034
2019-04-25 02-PM,5456.48,163.64,74.13,0.3036
2019-04-25 01-PM,5447.6,163.7,74.13,0.3041
2019-04-25 12-PM,5458.09,163.92,74.11,0.3038
2019-04-25 11-AM,5458.16,164.41,73.9,0.3026
2019-04-25 10-AM,5466.11,163.91,74.3,0.305
2019-04-25 09-AM,5456.89,162.94,74.17,0.3002
2019-04-25 08-AM,5420.45,162.84,73.09,0.2979
2019-04-25 07-AM,5428.47,162.99,73,0.2981
2019-04-25 06-AM,5429.47,162.58,72.96,0.2981
2019-04-25 05-AM,5406.46,164.04,72.55,0.297
2019-04-25 04-AM,5426.73,164.4,73.01,0.2987
2019-04-25 03-AM,5425.97,164.09,73.25,0.2984
2019-04-25 02-AM,5439.92,163.57,72.97,0.2992
2019-04-25 01-AM,5429.86,165.31,72.82,0.2976
2019-04-25 12-AM,5457.08,165.81,73.94,0.3008
2019-04-24 11-PM,5453.95,165.74,73.93,0.3012
2019-04-24 10-PM,5440.95,165.18,73.11,0.301
2019-04-24 09-PM,5443.73,163.6,73.07,0.2997
2019-04-24 08-PM,5435.65,164.37,72.27,0.2998
2019-04-24 07-PM,5438,163.03,72.66,0.301
2019-04-24 06-PM,5431.44,162.09,72.34,0.2991
2019-04-24 05-PM,5404.72,161.62,71.66,0.2963
2019-04-24 04-PM,5413.1,162.49,71.54,0.2947
2019-04-24 03-PM,5436,164.38,71.7,0.2985
2019-04-24 02-PM,5461.81,164.6,72.34,0.3007
2019-04-24 01-PM,5463.29,164.12,72.59,0.3005
2019-04-24 12-PM,5440.81,165.12,71.73,0.2993
2019-04-24 11-AM,5458.83,164.79,72.45,0.3033
2019-04-24 10-AM,5432.03,163.92,72.41,0.3003
2019-04-24 09-AM,5420.24,164.03,71.65,0.2988
2019-04-24 08-AM,5461.2,165.07,71.72,0.3
2019-04-24 07-AM,5479.85,164.46,72.73,0.2986
2019-04-24 06-AM,5468,169.49,72.21,0.2925
2019-04-24 05-AM,5595.33,170.11,73.87,0.3176
2019-04-24 04-AM,5604,170.25,74.16,0.3199
2019-04-24 03-AM,5592.5,169.65,73.89,0.3194
2019-04-24 02-AM,5570.83,169.26,73.93,0.3201
2019-04-24 01-AM,5557.92,168.5,73.52,0.3203
2019-04-24 12-AM,5548.61,170.41,72.54,0.3186
2019-04-23 11-PM,5536.13,170.3,74.84,0.3207
2019-04-23 10-PM,5531.32,171.56,74.16,0.3202
2019-04-23 09-PM,5564.74,172.72,76.15,0.3217
2019-04-23 08-PM,5567.73,172.25,76.36,0.3234
2019-04-23 07-PM,5576.19,173.02,76.96,0.3237
2019-04-23 06-PM,5588.94,173.52,77.37,0.3225
2019-04-23 05-PM,5603.05,173.86,77.38,0.3232
2019-04-23 04-PM,5580.69,173.67,77.34,0.3237
2019-04-23 03-PM,5575.71,173.58,77.73,0.325
2019-04-23 02-PM,5564.36,174.58,77.54,0.325
2019-04-23 01-PM,5580.14,174.89,78.58,0.3262
2019-04-23 12-PM,5571.14,174.5,78.01,0.3274
2019-04-23 11-AM,5570.81,174.5,78.16,0.3253
2019-04-23 10-AM,5555.54,175.01,78.34,0.3254
2019-04-23 09-AM,5550.2,175.07,78.44,0.3261
2019-04-23 08-AM,5537.13,175.27,78.79,0.3264
2019-04-23 07-AM,5543.73,175.58,78.9,0.328
2019-04-23 06-AM,5541,174.71,78.98,0.3261
2019-04-23 05-AM,5535,174.14,78.5,0.326
2019-04-23 04-AM,5535.24,173.05,78.65,0.3264
2019-04-23 03-AM,5513.75,172.42,78.63,0.3251
2019-04-23 02-AM,5432.23,171.71,77.14,0.3234
2019-04-23 01-AM,5404.38,171.21,77.14,0.3246
2019-04-23 12-AM,5387.51,171.07,76.81,0.3245
2019-04-22 11-PM,5379.92,171.47,76.95,0.3236
2019-04-22 10-PM,5386.8,172.3,76.8,0.3236
2019-04-22 09-PM,5403.01,172.43,77.41,0.3264
2019-04-22 08-PM,5386.41,171.88,77.48,0.3231
2019-04-22 07-PM,5369.14,172.42,77.23,0.3239
2019-04-22 06-PM,5387.58,172.32,77.86,0.3237
2019-04-22 05-PM,5410.78,171.94,77.17,0.3239
2019-04-22 04-PM,5370.44,169.58,76.93,0.3242
2019-04-22 03-PM,5307.24,170.81,76.43,0.3221
2019-04-22 02-PM,5309.94,171.39,76.38,0.3219
2019-04-22 01-PM,5316.48,170.86,77.07,0.3242
2019-04-22 12-PM,5300.5,171.16,76.69,0.3241
2019-04-22 11-AM,5310.45,171.61,76.85,0.3257
2019-04-22 10-AM,5311.24,171.97,77.28,0.3268
2019-04-22 09-AM,5320.39,171.23,77.79,0.3276
2019-04-22 08-AM,5299.96,169.81,77.07,0.3281
