Date,BTC,ETH,LTC,XRP
2019-04-25 10-PM,5392.75,153.25,71.33,0.2876
2019-04-25 09-PM,5496.09,160.18,72.6,0.2968
2019-04-25 08-PM,5487.44,164.64,73.96,0.3025
2019-04-25 07-PM,5497,164.57,73.92,0.3024
2019-04-25 06-PM,5495.25,164.82,73.83,0.3029
2019-04-25 05-PM,5479.25,164.78,73.85,0.3031
2019-04-25 04-PM,5456.48,164.8,74.19,0.3034
2019-04-25 03-PM,5447.6,164.05,74.13,0.3036
2019-04-25 02-PM,5458.09,163.64,74.13,0.3041
2019-04-25 01-PM,5458.16,163.7,74.11,0.3038
2019-04-25 12-PM,5466.11,163.92,73.9,0.3026
2019-04-25 11-AM,5456.89,164.41,74.3,0.305
2019-04-25 10-AM,5420.45,163.91,74.17,0.3002
2019-04-25 09-AM,5428.47,162.94,73.09,0.2979
2019-04-25 08-AM,5429.47,162.84,73,0.2981
2019-04-25 07-AM,5406.46,162.99,72.96,0.2981
2019-04-25 06-AM,5426.73,162.58,72.55,0.297
2019-04-25 05-AM,5425.97,164.04,73.01,0.2987
2019-04-25 04-AM,5439.92,164.4,73.25,0.2984
2019-04-25 03-AM,5429.86,164.09,72.97,0.2992
2019-04-25 02-AM,5457.08,163.57,72.82,0.2976
2019-04-25 01-AM,5453.95,165.31,73.94,0.3008
2019-04-25 12-AM,5440.95,165.81,73.93,0.3012
2019-04-24 11-PM,5443.73,165.74,73.11,0.301
2019-04-24 10-PM,5435.65,165.18,73.07,0.2997
2019-04-24 09-PM,5438,163.6,72.27,0.2998
2019-04-24 08-PM,5431.44,164.37,72.66,0.301
2019-04-24 07-PM,5404.72,163.03,72.34,0.2991
2019-04-24 06-PM,5413.1,162.09,71.66,0.2963
2019-04-24 05-PM,5436,161.62,71.54,0.2947
2019-04-24 04-PM,5461.81,162.49,71.7,0.2985
2019-04-24 03-PM,5463.29,164.38,72.34,0.3007
2019-04-24 02-PM,5440.81,164.6,72.59,0.3005
2019-04-24 01-PM,5458.83,164.12,71.73,0.2993
2019-04-24 12-PM,5432.03,165.12,72.45,0.3033
2019-04-24 11-AM,5420.24,164.79,72.41,0.3003
2019-04-24 10-AM,5461.2,163.92,71.65,0.2988
2019-04-24 09-AM,5479.85,164.03,71.72,0.3
2019-04-24 08-AM,5468,165.07,72.73,0.2986
2019-04-24 07-AM,5595.33,164.46,72.21,0.2925
2019-04-24 06-AM,5604,169.49,73.87,0.3176
2019-04-24 05-AM,5592.5,170.11,74.16,0.3199
2019-04-24 04-AM,5570.83,170.25,73.89,0.3194
2019-04-24 03-AM,5557.92,169.65,73.93,0.3201
2019-04-24 02-AM,5548.61,169.26,73.52,0.3203
2019-04-24 01-AM,5536.13,168.5,72.54,0.3186
2019-04-24 12-AM,5531.32,170.41,74.84,0.3207
2019-04-23 11-PM,5564.74,170.3,74.16,0.3202
2019-04-23 10-PM,5567.73,171.56,76.15,0.3217
2019-04-23 09-PM,5576.19,172.72,76.36,0.3234
