,Year,Team,CapRoom
293,2013,dolphins,23.24000000000001
294,2014,dolphins,10.949999999999989
295,2015,dolphins,5.369999999999976
296,2016,dolphins,19.739999999999995
297,2017,dolphins,11.699999999999989
298,2018,dolphins,3.9099999999999966
299,2019,dolphins,45.02
300,2005,vikings,27.35000000000001
301,2006,vikings,33.89999999999999
302,2007,vikings,10.010000000000005
303,2008,vikings,-1.0199999999999818
304,2009,vikings,-1.4399999999999977
305,2010,vikings,-14.5
306,2011,vikings,0.4700000000000131
307,2012,vikings,13.459999999999994
308,2013,vikings,6.510000000000005
309,2014,vikings,10.969999999999999
310,2015,vikings,8.249999999999986
311,2016,vikings,5.719999999999999
312,2017,vikings,16.5
313,2018,vikings,0.6999999999999886
314,2019,vikings,5.109999999999985
315,2005,patriots,45.24
316,2006,patriots,42.85000000000001
317,2007,patriots,38.2
318,2008,patriots,27.500000000000014
319,2009,patriots,21.430000000000007
320,2010,patriots,10.259999999999991
321,2011,patriots,16.209999999999994
322,2012,patriots,9.41000000000001
323,2013,patriots,18.13000000000001
324,2014,patriots,3.84999999999998
325,2015,patriots,16.180000000000007
326,2016,patriots,18.940000000000012
327,2017,patriots,7.449999999999989
328,2018,patriots,9.399999999999991
329,2019,patriots,16.33999999999999
330,2005,saints,57.94
331,2006,saints,53.830000000000005
332,2007,saints,36.830000000000005
333,2008,saints,29.110000000000014
334,2009,saints,14.640000000000015
335,2010,saints,-2.8100000000000023
336,2011,saints,16.349999999999994
337,2012,saints,1.420000000000016
338,2013,saints,2.1400000000000006
339,2014,saints,1.9800000000000182
340,2015,saints,2.039999999999992
341,2016,saints,33.43000000000001
342,2017,saints,17.610000000000014
343,2018,saints,14.20999999999998
344,2019,saints,13.129999999999995
345,2005,giants,45.44
346,2006,giants,30.590000000000003
347,2007,giants,39.43000000000001
348,2008,giants,39.830000000000005
349,2009,giants,12.829999999999998
350,2010,giants,-4.559999999999974
351,2011,giants,1.7999999999999972
352,2012,giants,-3.6200000000000188
353,2013,giants,-2.789999999999992
354,2014,giants,0.9199999999999875
355,2015,giants,21.64
356,2016,giants,8.249999999999986
357,2017,giants,0.4899999999999949
358,2018,giants,28.47
359,2019,giants,1.1099999999999852
360,2005,jets,43.69
361,2006,jets,42.83
362,2007,jets,37.24000000000001
363,2008,jets,17.929999999999993
364,2009,jets,11.019999999999996
365,2010,jets,2.009999999999991
366,2011,jets,6.329999999999998
367,2012,jets,-10.129999999999981
368,2013,jets,4.079999999999998
369,2014,jets,12.420000000000002
370,2015,jets,2.4200000000000017
371,2016,jets,10.36999999999999
372,2017,jets,25.72
373,2018,jets,9.100000000000009
374,2019,jets,20.900000000000006
375,2005,eagles,53.419999999999995
376,2006,eagles,41.24
377,2007,eagles,37.71
378,2008,eagles,29.379999999999995
379,2009,eagles,5.140000000000001
380,2010,eagles,-5.660000000000011
381,2011,eagles,3.9099999999999966
382,2012,eagles,10.289999999999992
383,2013,eagles,16.540000000000006
384,2014,eagles,12.469999999999999
385,2015,eagles,6.009999999999991
386,2016,eagles,5.959999999999994
387,2017,eagles,2.200000000000003
388,2018,eagles,11.86999999999999
389,2019,eagles,14.379999999999995
390,2005,steelers,39.510000000000005
391,2006,steelers,32.04999999999998
392,2007,steelers,23.53
393,2008,steelers,24.760000000000005
394,2009,steelers,11.670000000000002
395,2010,steelers,1.0999999999999943
396,2011,steelers,-2.759999999999991
397,2012,steelers,-3.299999999999997
398,2013,steelers,0.539999999999992
399,2014,steelers,2.210000000000008
400,2015,steelers,18.960000000000008
401,2016,steelers,4.000000000000014
402,2017,steelers,10.649999999999991
403,2018,steelers,16.030000000000015
404,2019,steelers,17.75
405,2005,49ers,52.63
406,2006,49ers,46.85
407,2007,49ers,43.8
408,2008,49ers,34.17999999999999
409,2009,49ers,6.610000000000014
410,2010,49ers,-9.840000000000003
411,2011,49ers,17.439999999999998
412,2012,49ers,-14.149999999999977
413,2013,49ers,8.510000000000005
414,2014,49ers,11.920000000000002
