AAV,Age,CapPerc,Dollars,From,Player,Position,To,Year,Years
700000.0,26,0.58,700000.0,MIA,eve Slaton,RB,MIA,2012.0,1.0
700000.0,28,0.58,700000.0,NYG,Justin Tryon,CB,NYG,2012.0,1.0
680000.0,28,0.56,680000.0,GB,Pat Lee,CB,OAK,2012.0,1.0
665000.0,28,0.55,665000.0,TEN,Donnie Avery,WR,IND,2012.0,1.0
640000.0,25,0.53,640000.0,DAL,Kevin Ogletree,WR,DAL,2012.0,1.0
623120.0,28,0.52,623120.0,CAR,Marcus Harrison,DT,NE,2012.0,1.0
617500.0,27,0.51,617500.0,MIA,Ryan Baker,DT,MIA,2012.0,1.0
615000.0,27,0.51,615000.0,JAC,William Robinson,T,NO,2012.0,1.0
615000.0,27,0.51,615000.0,MIN,Zackary Bowman,CB,CHI,2012.0,1.0
615000.0,28,0.51,615000.0,NE,Lex Hilliard,RB,NYJ,2012.0,1.0
615000.0,27,0.51,615000.0,NO,Derek Schouman,TE,NO,2012.0,1.0
615000.0,25,0.51,615000.0,IND,Justin King,CB,IND,2012.0,1.0
615000.0,28,0.51,615000.0,JAC,Jordan Palmer,QB,JAC,2012.0,1.0
615000.0,27,0.51,615000.0,IND,Curtis Painter,QB,BAL,2012.0,1.0
615000.0,27,0.51,615000.0,SF,Brett Swain,WR,SF,2012.0,1.0
615000.0,25,0.51,615000.0,STL,Brit Miller,RB,STL,2012.0,1.0
615000.0,25,0.51,615000.0,SD,Everette Brown,OLB,DET,2012.0,1.0
615000.0,26,0.51,615000.0,DET,Ashlee Palmer,OLB,DET,2012.0,1.0
615000.0,27,0.51,615000.0,NYJ,Jamaal Westerman,LB,MIA,2012.0,1.0
615000.0,27,0.51,615000.0,SD,Kory Sperry,TE,SD,2012.0,1.0
615000.0,27,0.51,615000.0,TEN,Fernando Velasco,G,TEN,2012.0,1.0
615000.0,25,0.51,615000.0,CAR,C.J. Davis,C,DEN,2012.0,1.0
615000.0,27,0.51,615000.0,NYG,Darius Reynaud,RB,TEN,2012.0,1.0
540000.0,24,0.45,540000.0,OAK,Bryan McCann,CB,OAK,2012.0,1.0
540000.0,25,0.45,540000.0,STL,Brody Eldridge,TE,CHI,2012.0,1.0
540000.0,23,0.45,540000.0,NO,Jonathon Amaya,S,MIA,2012.0,1.0
540000.0,24,0.45,540000.0,CAR,R.J. Stanford,CB,MIA,2012.0,1.0
540000.0,26,0.45,540000.0,NE,Rich Ohrnberger,C,ARI,2012.0,1.0
540000.0,26,0.45,540000.0,JAC,Darcel McBath,S,SF,2012.0,1.0
540000.0,28,0.45,540000.0,DAL,Jesse Holley,WR,NE,2012.0,1.0
540000.0,24,0.45,540000.0,JAC,Nate Collins,DT,CHI,2012.0,1.0
540000.0,26,0.45,540000.0,CAR,DeMario Pressley,DT,CHI,2012.0,1.0
540000.0,25,0.45,540000.0,STL,Jermelle Cudjo,DT,STL,2012.0,1.0
540000.0,26,0.45,540000.0,PIT,Steve McLendon,DT,PIT,2012.0,1.0
540000.0,27,0.45,540000.0,PIT,Issac Redman,RB,PIT,2012.0,1.0
540000.0,27,0.45,540000.0,SD,Mike Windt,LS,SD,2012.0,1.0
540000.0,27,0.45,540000.0,SEA,Roy Lewis,CB,SEA,2012.0,1.0
