Airline,Origin,Destination,Delay
WN,MDW,HOU,7.97
WN,BNA,PNS,7.96
WN,MDW,DCA,7.94
WN,BWI,OAK,7.93
WN,MCO,PVD,7.92
WN,MCO,MSP,7.91
WN,ATL,IND,7.91
WN,CHS,BNA,7.89
WN,BWI,PDX,7.89
WN,SAN,SEA,7.88
WN,EWR,MCO,7.87
WN,HOU,PHX,7.86
WN,SMF,HOU,7.86
WN,HRL,AUS,7.85
WN,SJC,BOI,7.85
WN,LAS,SLC,7.85
WN,PHL,DAL,7.85
WN,BWI,ISP,7.84
WN,DAL,PDX,7.83
WN,BWI,CVG,7.83
WN,MSP,MKE,7.82
WN,DEN,MSY,7.82
WN,DAL,AUS,7.82
WN,DAL,BNA,7.81
WN,BHM,MCO,7.81
WN,MDW,CHS,7.8
WN,PHX,MSP,7.8
WN,SFO,PDX,7.8
WN,ATL,MCI,7.8
WN,SEA,PHX,7.79
WN,SAN,MCO,7.79
WN,DEN,OAK,7.79
WN,BUF,PHX,7.79
WN,LAS,DEN,7.78
WN,PHX,ONT,7.78
WN,DEN,HOU,7.77
WN,BNA,MCO,7.74
WN,LAS,OAK,7.74
WN,LGA,DAL,7.72
WN,FLL,PIT,7.71
WN,DAL,MAF,7.71
WN,LAX,RNO,7.71
WN,BWI,BUF,7.7
WN,ATL,STL,7.7
WN,MSY,DAL,7.7
WN,HOU,CRP,7.69
WN,FLL,BDL,7.68
WN,DEN,OMA,7.68
WN,HOU,AUS,7.67
WN,SAT,HOU,7.66
WN,MDW,OMA,7.66
WN,LAS,TUL,7.66
WN,MKE,SFO,7.65
WN,LAX,BNA,7.64
WN,MEM,TPA,7.63
WN,SLC,LAX,7.62
WN,MCO,BUF,7.61
WN,HOU,BNA,7.61
WN,LAS,SAN,7.6
WN,PHX,AUS,7.59
WN,STL,OKC,7.58
WN,PHX,ELP,7.58
WN,PHX,DTW,7.56
WN,ISP,PBI,7.56
WN,ATL,DCA,7.56
WN,STL,ATL,7.54
WN,PHL,TPA,7.54
WN,ALB,DEN,7.54
WN,DEN,BOI,7.51
WN,BNA,TPA,7.51
WN,MCO,BDL,7.5
WN,STL,MSP,7.49
WN,HOU,HRL,7.47
WN,DEN,PHX,7.47
WN,LAX,MDW,7.47
WN,HOU,STL,7.46
WN,AUS,TPA,7.45
WN,MDW,DEN,7.45
WN,STL,MCO,7.44
WN,LAS,ABQ,7.43
WN,ATL,GSP,7.42
WN,STL,DAL,7.42
WN,MDW,DTW,7.42
WN,LAS,GEG,7.41
WN,ATL,BWI,7.4
WN,DAL,LAS,7.4
WN,OAK,CMH,7.4
WN,MDW,SJC,7.4
WN,BNA,MSP,7.38
WN,LAS,SMF,7.37
WN,MSY,HOU,7.37
WN,OAK,PHX,7.35
WN,DTW,DAL,7.35
WN,MSY,DEN,7.34
WN,BNA,DAL,7.32
WN,BWI,CLE,7.32
WN,MSY,SJC,7.31
WN,DEN,MCO,7.3
WN,CHS,DEN,7.3
WN,ABQ,AUS,7.29
WN,FLL,STL,7.29
WN,TPA,STL,7.29
WN,MCO,RDU,7.28
WN,CLT,BNA,7.26
WN,MDW,STL,7.26
WN,HOU,SAN,7.24
WN,DAL,BWI,7.24
WN,PHL,MCO,7.23
WN,MCO,DAL,7.22
WN,SJC,ONT,7.22
WN,TPA,MKE,7.21
WN,BWI,SJC,7.21
WN,SAN,BNA,7.21
WN,PDX,ONT,7.21
WN,STL,BNA,7.2
WN,ECP,BWI,7.2
WN,STL,DTW,7.2
WN,LAS,BOI,7.19
WN,STL,TPA,7.17
WN,SNA,MCI,7.17
WN,OAK,ONT,7.17
WN,DEN,ABQ,7.17
WN,SJC,AUS,7.17
WN,ATL,PHL,7.16
WN,MSY,PIT,7.15
WN,BWI,PBI,7.14
WN,SAN,MSY,7.12
WN,OAK,PDX,7.12
WN,BWI,ATL,7.11
WN,STL,LIT,7.11
WN,PHX,BNA,7.11
WN,ATL,RIC,7.11
WN,DEN,BNA,7.1
WN,BNA,CMH,7.09
WN,ATL,CLE,7.09
WN,SEA,SAN,7.09
WN,FLL,AUS,7.08
WN,PHX,RNO,7.07
WN,BUR,LAS,7.07
WN,MDW,CMH,7.07
WN,PHX,SMF,7.05
WN,STL,TUL,7.05
WN,ATL,PIT,7.05
WN,DCA,MKE,7.04
WN,CVG,DEN,7.03
WN,BNA,DCA,7.03
WN,TPA,FLL,7.03
WN,AUS,PDX,7.02
WN,DCA,OMA,7.01
WN,AUS,SEA,7.01
WN,LGA,ATL,7
WN,MCO,FLL,7
WN,AUS,MCO,7
WN,PDX,BUR,7
WN,DEN,SAT,6.99
WN,DAL,SAN,6.99
WN,BNA,MSY,6.98
WN,LAS,BUF,6.98
WN,SMF,BOI,6.98
WN,BWI,MCO,6.97
WN,LAS,OKC,6.97
WN,HOU,BWI,6.96
WN,DEN,MDW,6.96
WN,BWI,FLL,6.95
WN,MCO,IND,6.95
WN,LAS,MKE,6.93
WN,MSY,TPA,6.93
WN,HOU,MDW,6.93
WN,CMH,OAK,6.93
WN,SEA,SJC,6.93
WN,OAK,BNA,6.92
WN,LAS,BUR,6.92
WN,MSY,ATL,6.91
WN,LAS,CLE,6.91
WN,DEN,STL,6.9
WN,DAL,ECP,6.89
WN,STL,OMA,6.86
WN,ISP,TPA,6.85
WN,HOU,ELP,6.85
WN,OKC,DCA,6.85
WN,MCO,BWI,6.84
WN,BOS,BWI,6.84
WN,LAS,RNO,6.84
WN,MDW,PIT,6.82
WN,MCO,BNA,6.82
WN,MDW,ABQ,6.82
WN,BWI,SLC,6.81
WN,PHX,PDX,6.81
WN,PHX,HOU,6.81
WN,LAS,SAT,6.8
WN,MEM,DAL,6.8
WN,SJC,DAL,6.79
