word,disgust,surprise,neutral,anger,sad,happy,fear
horrocks , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
horror , 0.008010062 , 4.6339203E-4 , 6.619887E-5 , 3.309943E-4 , 5.9578975E-4 , 0.0012577785 , 0.13246393
horrors , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
horsepower , 0.023809526 , 0.11904762 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526
horses , 0.008928572 , 0.0625 , 0.008928572 , 0.026785716 , 0.008928572 , 0.026785716 , 0.04464286
hose , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
hospitable , 0.11904762 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526
hospitality , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287
hospitalization , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
hospitalized , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
hospitals , 0.071428575 , 0.071428575 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526
hostage , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575 , 0.071428575 , 0.023809526
hostal , 0.017857144 , 0.053571433 , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.08928572
hosted , 0.008928572 , 0.09821429 , 0.008928572 , 0.008928572 , 0.008928572 , 0.026785716 , 0.026785716
hostel , 0.043650795 , 0.011904763 , 0.003968254 , 0.051587302 , 0.003968254 , 0.035714287 , 0.011904763
hostess , 0.017857144 , 0.017857144 , 0.017857144 , 0.053571433 , 0.053571433 , 0.053571433 , 0.017857144
hostesses , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
hostil , 0.0059523815 , 0.0059523815 , 0.0059523815 , 0.13690476 , 0.0059523815 , 0.0059523815 , 0.0059523815
hostile , 0.0015197569 , 0.0015197569 , 0.0015197569 , 0.12917934 , 0.0045592706 , 0.0015197569 , 0.0106382985
hostilely , 0.0059523815 , 0.0059523815 , 0.0059523815 , 0.13690476 , 0.0059523815 , 0.0059523815 , 0.0059523815
hostility , 0.005102041 , 0.005102041 , 0.005102041 , 0.12755102 , 0.005102041 , 0.005102041 , 0.0153061235
hosts , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.11904762 , 0.023809526 , 0.023809526
hot , 2.6357407E-6 , 5.535056E-5 , 0.001056932 , 8.6979446E-5 , 9.752241E-5 , 7.643648E-5 , 6.589352E-5
hotcakes , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
hotel , 3.5536605E-6 , 3.5536605E-6 , 0.0014250178 , 3.5536605E-6 , 3.5536605E-6 , 3.5536605E-6 , 3.5536605E-6
hotels , 3.5536605E-6 , 3.5536605E-6 , 0.0014250178 , 3.5536605E-6 , 3.5536605E-6 , 3.5536605E-6 , 3.5536605E-6
hotflash , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
hotmess , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
hotspot , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
hotsuma , 0.014285715 , 0.071428575 , 0.014285715 , 0.014285715 , 0.014285715 , 0.014285715 , 0.071428575
hotter , 0.017857144 , 0.08928572 , 0.017857144 , 0.017857144 , 0.053571433 , 0.017857144 , 0.017857144
hottest , 0.011904763 , 0.011904763 , 0.011904763 , 0.035714287 , 0.107142866 , 0.011904763 , 0.011904763
hottie , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
hotwife , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
houghton , 0.023809526 , 0.071428575 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575
hound , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
hounds , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
houppelande , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287
houre , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
hourly , 0.023809526 , 0.071428575 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575
hours , 3.518649E-6 , 3.518649E-6 , 0.0014109783 , 3.518649E-6 , 1.05559475E-5 , 3.518649E-6 , 1.05559475E-5
house , 1.7593244E-5 , 3.518649E-6 , 0.0014109783 , 3.518649E-6 , 3.518649E-6 , 3.518649E-6 , 3.518649E-6
house/garden , 0.023809526 , 0.023809526 , 0.023809526 , 0.11904762 , 0.023809526 , 0.023809526 , 0.023809526
house; , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
housebound , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.11904762
housecats , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287
housed , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
household , 0.010204082 , 0.030612247 , 0.010204082 , 0.010204082 , 0.030612247 , 0.05102041 , 0.05102041
housekeeping , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575 , 0.023809526 , 0.023809526 , 0.071428575
houselights , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
houses , 0.0032467535 , 0.016233768 , 0.0032467535 , 0.042207796 , 0.022727275 , 0.022727275 , 0.0487013
housewife , 0.014285715 , 0.042857148 , 0.014285715 , 0.071428575 , 0.014285715 , 0.042857148 , 0.014285715
houston , 0.023809526 , 0.11904762 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526
hover , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
hovering , 0.023809526 , 0.071428575 , 0.023809526 , 0.071428575 , 0.023809526 , 0.023809526 , 0.023809526
how , 3.5536605E-6 , 3.5536605E-6 , 0.0014250178 , 3.5536605E-6 , 3.5536605E-6 , 3.5536605E-6 , 3.5536605E-6
howard , 0.023809526 , 0.071428575 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575 , 0.023809526
however , 3.5536605E-6 , 3.5536605E-6 , 0.0014250178 , 3.5536605E-6 , 3.5536605E-6 , 3.5536605E-6 , 3.5536605E-6
howeversign , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287
howie , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
howl , 2.6260506E-4 , 0.14101891 , 2.6260506E-4 , 7.878152E-4 , 2.6260506E-4 , 0.0013130254 , 2.6260506E-4
howling , 2.6652453E-4 , 0.14259063 , 2.6652453E-4 , 2.6652453E-4 , 2.6652453E-4 , 2.6652453E-4 , 2.6652453E-4
hq , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
hr , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575 , 0.023809526 , 0.071428575
href , 1.4727542E-4 , 0.03902798 , 1.4727542E-4 , 0.020471282 , 0.03048601 , 0.030780561 , 0.02253314
hrs , 0.017857144 , 0.08928572 , 0.017857144 , 0.017857144 , 0.053571433 , 0.017857144 , 0.017857144
hs , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
hsc , 0.017857144 , 0.053571433 , 0.017857144 , 0.053571433 , 0.017857144 , 0.017857144 , 0.053571433
htc , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
http , 1.8362101E-4 , 0.033969887 , 1.8362101E-4 , 0.024421595 , 0.025523322 , 0.036173336 , 0.023319867
https , 0.011904763 , 0.05952381 , 0.011904763 , 0.011904763 , 0.05952381 , 0.035714287 , 0.011904763
hua , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
huang , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
hubbi , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287
hubby , 0.005102041 , 0.0153061235 , 0.005102041 , 0.045918368 , 0.035714287 , 0.0153061235 , 0.045918368
hubpages , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287
hubs , 0.011904763 , 0.011904763 , 0.011904763 , 0.035714287 , 0.05952381 , 0.035714287 , 0.035714287
hubster , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
huck , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287
huddersfield , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
huddle , 0.017857144 , 0.017857144 , 0.017857144 , 0.053571433 , 0.017857144 , 0.08928572 , 0.017857144
huddled , 0.023809526 , 0.11904762 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526
hudson , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
