,ID,Player,Team,G,GS,MPG,FGP,X3pp,FTP,A_OFF,A_DEF,A_TOT,APG,SPG,BPG,A_TO,A_PF,PPG,MIN,FGM,FGA,X3PM,X3PA,FTM,FTA,OFF,DEF,TOT,AST,STL,BLK,TO,PF,PTS,Region,Salary,kcuti$cluster
,,,,Tony Allen,49,49.70%,1.7,6.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,67,47.13%,4.172727273,7.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Chandler Parsons,69,47.00%,3.9,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dwight Howard,68,59.00%,1.8,9.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Eric Gordon,64,43.60%,3.3,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,James Harden,67,45.90%,5.8,9.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jeremy Lin,65,44.10%,4.2,8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Manu Ginobili,63,46.70%,4.4,8.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mike Conley,67,44.10%,6,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tim Duncan,70,49.10%,3.1,7.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tony Parker,64,49.70%,5.9,7.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tyreke Evans,67,43.00%,4.9,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Zach Randolph,73,46.20%,2.6,6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,52.9375,46.91%,1.2,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Alexis Ajinca,51,53.90%,0.7,6.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Anthony Morrow,70,45.90%,0.6,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aron Baynes,50,43.80%,0.7,7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Beno Udrih (TOT),38,42.90%,3,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cory Joseph,62,46.40%,1.6,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Courtney Lee,43,49.00%,1.7,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Donatas Motiejunas,55,46.20%,0.6,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ed Davis,57,54.10%,0.4,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Francisco Garcia,50,41.00%,1.1,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Greg Stiemsma,52,59.50%,0.7,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,James Johnson,48,46.10%,2.1,6.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jon Leuer,47,49.80%,0.4,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jordan Hamilton (TOT),56,38.90%,0.8,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Omer Asik,42,51.70%,0.5,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Patrick Beverley,53,40.70%,2.7,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tayshaun Prince,73,40.70%,1.6,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,65.07692308,48.67%,1.807692308,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Brandan Wright,53,68.50%,0.6,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DeJuan Blair,74,53.50%,0.9,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dirk Nowitzki,75,49.50%,2.7,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jae Crowder,73,44.50%,0.8,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jeff Withey,52,55.40%,0.4,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jose Calderon,76,45.50%,4.8,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Matt Bonner,57,44.50%,0.5,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Monta Ellis,77,44.80%,5.8,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Samuel Dalembert,75,57.20%,0.5,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shane Larkin,45,37.30%,1.6,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shawn Marion,71,48.00%,1.7,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vince Carter,76,40.80%,2.7,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Wayne Ellington,42,43.20%,0.5,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Grand Total,51.48101266,46.02%,1.841772152,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
