Airline,Origin,Destination,Total_Delay,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
WN,MDW,MCO,9.74,41.785999,-87.752403,28.42939949,-81.30899811
WN,BOS,IND,9.74,42.36429977,-71.00520325,39.7173,-86.294403
WN,TPA,PHX,9.72,27.97550011,-82.53320313,33.43429947,-112.012001
WN,IND,BOS,9.72,39.7173,-86.294403,42.36429977,-71.00520325
WN,HOU,SLC,9.71,29.64539909,-95.27890015,40.78839874,-111.9779968
WN,MDW,TPA,9.7,41.785999,-87.752403,27.97550011,-82.53320313
WN,PBI,PHL,9.69,26.68320084,-80.09559631,39.87189865,-75.2410965
WN,AUS,SNA,9.69,30.19449997,-97.66989899,33.67570114,-117.8679962
WN,DAL,MEM,9.69,32.847099,-96.851799,35.04240036,-89.97669983
WN,DCA,AUS,9.68,38.8521,-77.037697,30.19449997,-97.66989899
WN,FLL,PHX,9.67,26.072599,-80.152702,33.43429947,-112.012001
WN,DAL,ELP,9.66,32.847099,-96.851799,31.80719948,-106.3779984
WN,PWM,MCO,9.64,43.64619827,-70.30930328,28.42939949,-81.30899811
WN,DAL,RDU,9.62,32.847099,-96.851799,35.87760162,-78.78749847
WN,ATL,RDU,9.61,33.6367,-84.428101,35.87760162,-78.78749847
WN,SAT,MSY,9.61,29.53370094,-98.46980286,29.99340057,-90.25800323
WN,OAK,SEA,9.6,37.721298,-122.221001,47.449001,-122.308998
WN,DEN,CLE,9.57,39.86169815,-104.6729965,41.4117012,-81.84980011
WN,SAN,ELP,9.56,32.73360062,-117.1900024,31.80719948,-106.3779984
WN,DAL,BOS,9.55,32.847099,-96.851799,42.36429977,-71.00520325
WN,MDW,LAX,9.52,41.785999,-87.752403,33.94250107,-118.4079971
WN,ATL,RSW,9.52,33.6367,-84.428101,26.53619957,-81.75520325
WN,ATL,SAT,9.52,33.6367,-84.428101,29.53370094,-98.46980286
WN,TPA,LAX,9.51,27.97550011,-82.53320313,33.94250107,-118.4079971
WN,DAL,MKE,9.5,32.847099,-96.851799,42.94720078,-87.89659882
WN,STL,SMF,9.5,38.748697,-90.370003,38.69540024,-121.5910034
WN,SFO,DAL,9.5,37.61899948,-122.375,32.847099,-96.851799
WN,HNL,OGG,9.47,21.32062,-157.924228,20.8986,-156.429993
WN,HOU,SEA,9.46,29.64539909,-95.27890015,47.449001,-122.308998
WN,STL,SEA,9.45,38.748697,-90.370003,47.449001,-122.308998
WN,DAL,PHL,9.44,32.847099,-96.851799,39.87189865,-75.2410965
WN,HOU,CLT,9.44,29.64539909,-95.27890015,35.2140007,-80.94309998
WN,LAS,CMH,9.41,36.08010101,-115.1520004,39.998001,-82.891899
WN,SJC,ABQ,9.4,37.362598,-121.929001,35.040199,-106.609001
WN,MCO,ISP,9.39,28.42939949,-81.30899811,40.79520035,-73.10019684
WN,STL,CMH,9.39,38.748697,-90.370003,39.998001,-82.891899
WN,LGA,IND,9.38,40.77719879,-73.87259674,39.7173,-86.294403
WN,MCO,DCA,9.37,28.42939949,-81.30899811,38.8521,-77.037697
WN,LAS,TUS,9.37,36.08010101,-115.1520004,32.11610031,-110.9410019
WN,OKC,MDW,9.36,35.39310074,-97.60070038,41.785999,-87.752403
WN,LAX,SJC,9.36,33.94250107,-118.4079971,37.362598,-121.929001
